Movie_ID,Member_Name,Role,Film_Title,Gross,IMDB,Year,Classification
tt4154756,Jack Kirby,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Joe Simon,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Jack Kirby,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Steve Englehart,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Steve Gan,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Bill Mantlo,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Keith Giffen,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Jim Starlin,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Stan Lee,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Larry Lieber,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Jack Kirby,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Steve Englehart,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Don Heck,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Jim Starlin,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Kevin Feige,Producer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Alan Silvestri,Composer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Trent Opaloch,Cinematographer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Jeffrey Ford,Editor,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Matthew Schmidt,Editor,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Charles Wood,Production Designer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Robert Downey Jr.,Actor,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Chris Hemsworth,Actor,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Mark Ruffalo,Actor,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Chris Evans,Actor,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt0369610,Colin Trevorrow,Director,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Rick Jaffa,Writer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Amanda Silver,Writer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Colin Trevorrow,Writer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Derek Connolly,Writer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Rick Jaffa,Writer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Amanda Silver,Writer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Michael Crichton,Writer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Patrick Crowley,Producer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Frank Marshall,Producer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Michael Giacchino,Composer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,John Schwartzman,Cinematographer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Kevin Stitt,Editor,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Ed Verreaux,Production Designer,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Chris Pratt,Actor,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Bryce Dallas Howard,Actor,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Ty Simpkins,Actor,Jurassic World,1670400637,7,Universal Pictures,M
tt0369610,Judy Greer,Actor,Jurassic World,1670400637,7,Universal Pictures,M
tt6105098,Jon Favreau,Director,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Jeff Nathanson,Writer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Irene Mecchi,Writer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Jonathan Roberts,Writer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Linda Woolverton,Writer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Jon Favreau,Producer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Karen Gilchrist,Producer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Jeffrey Silver,Producer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Hans Zimmer,Composer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Caleb Deschanel,Cinematographer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Adam Gerstel,Editor,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Mark Livolsi,Editor,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,James Chinlund,Production Designer,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Donald Glover,Actor,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Beyoncé,Actor,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Seth Rogen,Actor,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt6105098,Chiwetel Ejiofor,Actor,The Lion King,1656943394,6.9,Walt Disney Studios Motion Pictures,PG
tt0848228,Joss Whedon,Director,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Joss Whedon,Writer,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Zak Penn,Writer,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Joss Whedon,Writer,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Kevin Feige,Producer,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Alan Silvestri,Composer,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Seamus McGarvey,Cinematographer,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Jeffrey Ford,Editor,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Lisa Lassek,Editor,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,James Chinlund,Production Designer,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Robert Downey Jr.,Actor,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Chris Evans,Actor,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Scarlett Johansson,Actor,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt0848228,Jeremy Renner,Actor,The Avengers,1518812988,8,Walt Disney Studios Motion Pictures,M
tt2820852,James Wan,Director,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Chris Morgan,Writer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Gary Scott Thompson,Writer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Vin Diesel,Producer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Michael Fottrell,Producer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Neal H. Moritz,Producer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Brian Tyler,Composer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Marc Spicer,Cinematographer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Stephen F. Windon,Cinematographer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Leigh Folsom Boyd,Editor,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Dylan Highsmith,Editor,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Kirk M. Morri,Editor,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Christian Wagner,Editor,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Bill Brzeski,Production Designer,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Vin Diesel,Actor,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Paul Walker,Actor,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Dwayne Johnson,Actor,Furious 7,1515047671,7.1,Universal Pictures,M
tt2820852,Jason Statham,Actor,Furious 7,1515047671,7.1,Universal Pictures,M
tt4520988,Chris Buck,Director,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Jennifer Lee,Director,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Jennifer Lee,Writer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Hans Christian Andersen,Writer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Jennifer Lee,Writer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Chris Buck,Writer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Marc Smith,Writer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Kristen Anderson-Lopez,Writer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Robert Lopez,Writer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Allison Schroeder,Writer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Peter Del Vecho,Producer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Christophe Beck,Composer,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
tt4520988,Jeff Draheim,Editor,Frozen II,1450026933,6.9,Walt Disney Studios Motion Pictures,PG
